comment_id,text,severity_id,target_id,has_pii,link_flagged,annotator,split,notes,post_text,parent_text,is_reply,created_time,source_page_id
dom__0,សម្រាប់អ្នកចង់ស្ដាប់បទពេញ​ អាចចូលតាមលីងខាងក្រោមបាន​ អរគុណ all nob,,,,,,,,,,False,,
dom__1,អូខេ អ្នកឈ្នះ,,,,,,,,,,False,,
dom__2,កូនខ្មែរម្នាក់ទៀតហើយ...,,,,,,,,,,False,,
dom__3,ឃើញតាំង ចាស់ណាវ តែទើបដាច់ចិត្តបញ្ចេញមតិ loy nas mii jm,,,,,,,,,,False,,
dom_Ngngengrk_4,"Ng ng , eng rk ah ng heee",,,,,,,,,,False,,
dom_Lmom_5,Lmom,,,,,,,,,,False,,
dom__0,សម្រាប់អ្នកចង់ស្ដាប់បទពេញ​ អាចចូលតាមលីងខាងក្រោមបាន​ អរគុណ all nob,,,,,,,,,,False,,
dom__1,អូខេ អ្នកឈ្នះ,,,,,,,,,,False,,
dom__2,កូនខ្មែរម្នាក់ទៀតហើយ...,,,,,,,,,,False,,
dom__3,ឃើញតាំង ចាស់ណាវ តែទើបដាច់ចិត្តបញ្ចេញមតិ loy nas mii jm,,,,,,,,,,False,,
dom_Ngngengrk_4,"Ng ng , eng rk ah ng heee",,,,,,,,,,False,,
dom_Lmom_5,Lmom,,,,,,,,,,False,,
dom__0,ចូលតាមដានព៍ត៌មានខ្ញុំម្នាក់មួយដើម្បីតាមដានរឿងថ្មីៗណាបងប្អូន Telegram: https://t.me/Chinlangeng YouTube : https://www.youtube.com/@chinlangeng TikTok: https://www.tiktok.com/@chinlangeng168?_r=1...,,,,,,,,,,False,,
dom__1,កុំភ្លេចមេីលអង្ករ ក្នុងពាង លោកអេីយ. កម្មពាមានម្ចាស់ តែកូន អត់ដឹងអីទេ… ខ្លាចហេីយពាក្យ យុគ៩. (ចុះជំនាន់ពលពត យុគ ប៉ុន្មាន? ),,,,,,,,,,False,,
dom__2,កម្មពារ គួរអោយខ្លាចត្រង់ អ្នកទទួលកម្មមិនមែនសមីខ្លួនផ្ទាល់ឡេីយបែរជាធ្លាក់ទៅលេីសមាជិក ហឹម....,,,,,,,,,,False,,
dom__3,កម្មពារមានពិតតែមនុស្សស្លាប់ទៅផុតកម្មហើយម៉ែអ្នកសាងគាត់អ្នកទទួល គ្មានកម្មពារណាមកធ្លាក់លើអ្នកមិនបានសាងទេ!,,,,,,,,,,False,,
dom__4,អ្នក​សាង​ អ្នក​នឹង​ទទួល​ទៅ​កុំ​រុញ​ដាក់​គ្នា​,,,,,,,,,,False,,
dom__5,សម្រាប់ខ្ញុំគិតថាកម្មមិនមែនធ្លាក់លើកូនគាត់ទេ បើតាមខ្ញុំស្តាប់ចាស់គាត់និយាយថាអ្នកដែរគេងសុខស្លាប់មានន័យគាត់អស់កម្មហើយព្រោះគាត់មិបរងទុក្ខមុនពេលស្លាប់ ហើយកម្មអីដែរទតួលបាន គឺបាត់បង់មនុស្សដែលខ្លួនស្រលាញ់ និងត្រូវមនុស្សទូរទាំងប្រទេសស្គាល់ពីសន្តានគាត់,,,,,,,,,,False,,
dom__0,ចង់បានវីដេអូអ្វីបន្ទាប់?,,,,,,,,,,False,,
dom__1,ដូចនឹកកូនខ្មែរក្នុង Fc mobile,,,,,,,,,,False,,
dom_11Ad_2,1នាទី 1Ad គ្មានអារម្មណ៍មើលទេ,,,,,,,,,,False,,
dom_Real_3,ចង់ប៉ះ Real លូវហ្នឹង,,,,,,,,,,False,,
dom__4,ការប្រកួតចុងក្រោយរបស់ពូដូ,,,,,,,,,,False,,
dom__5,បងនិយាយបាល់ល្អណាស់មើលហើយមិនធុញ មិនដូចអាចក់ ស្រែកក៏ស្រែក ជេរគេទៀត អាយ៉ាប់រកលេខដាក់គ្មាន,,,,,,,,,,False,,
dom__0,អាប្រុសមុខដូចមីនតោន,,,,,,,,,,False,,
dom__1,កម្ពុជាអើយកុំដើរលឿនពេក ចាំជប៉ុន និងអាមេរិកផង,,,,,,,,,,False,,
dom__2,អត់កាន់ជើងខាងណាទេ តែតាមមើលទៅនាក់ឃូនិង ដូច ឆ្លេឆ្លាដល់ហើយនេះតិចនោះតិច អាណា ព្រមយកអានិង ហើយបើតាមស្ដាប់គាត់និយាយ ប្រុសដែលគាត់ទាក់ទង គឺគាត់យកលុយទិញក្បាលគេទាំងអស់និង មិនថាអាបុិនិង ហើយនិងសង្សាគាត់ដែ,,,,,,,,,,False,,
dom__3,អ្នកកាសែតរឿងអត់ប្រយោជន៍គួរកុំផ្សាយវាអត់ប្រយោជន៍ធ្វើឱ្យបំពុលសង្គមទោះបីជាសំណូមពរពីប្រជាពលរដ្ឋយ៉ាងណាក៏ដោយត្រូវមើលសាច់រឿងឲ្យច្បាស់។ពាក់ព័ន្ធនឹងបទល្មើសត្រូវកំណត់បើល្មើសឲ្យបានច្បាស់លាស់មុននឹងចេញផ្សាយ,,,,,,,,,,False,,
dom__4,ប្រុសអីអន់ម៉្លេះរស់ដោយសារស្រី,,,,,,,,,,False,,
dom__5,គ្រូស្នេហ៍តែរកប្រុសមិនបាន,,,,,,,,,,False,,
dom_httpstmems_0,https://t.me/msrnews24h,,,,,,,,,,False,,
dom__1,ទៅមើលនៅអគ្គក្បាលថ្នល់ឃើញហើយ។ពួកអគ្គធ្វើស៊ីហើយ,,,,,,,,,,False,,
dom__2,បើគាត់ធ្លាប់ដើរផ្លូវខុសម្ដងហើយ។ណាមួយគាត់នឹងត្រឡប់ទៅធាតុដើមរបស់គាត់វិញខ្ញុំជួបផ្ទាល់អតីតប្ដីខ្ញុំ។បានគ្នារយៈពេល 7 ឆ្នាំពីរឆ្នាំដំបូងដែលខ្ញុំទាក់ទងគ្នាគាត់កំពុងតែប្រើប្រាស់តែគាត់ព្យាយាមកាត់ផ្ដាច់កន្លងមកក៏បានសម្រេចគាត់ផ្ដាច់បានពីរឆ្នាំ។បន្តមកទៀត។ពីរបីឆ្នាំក្រោយមក។គាត់ក៏លួចប្រើប្រាស់ហើយខ្ញុំមិនដឹង។ពេលដែលខ្ញុំដឹងគឺគាត់វកបាត់ទៅហើយហើយកន្លង់ដែលខ្ញុំដឹងពីបីខែចុងក្រោយមុនពេលដែលខ្ញុំបែកគ្នា។ខ្ញុំមិននឹកស្មានថាគាត់អាចត្រឡប់ទៅ។ពីមុនទេ។ទាំងដែលគាត់គ្រឿងញៀនបានពីរឆ្នាំចម្លង 3 ខែ 4 ខែគាត់មានសកម្មភាពប្លែកៗពេលដែលខ្ញុំដឹងគឺខ្ញុំត្រូវអស់គ្រប់យ៉ាង។ព្រោះដោយការធ្វើប្រហែសរបស់ខ្ញុំ។ដែលខ្ញុំគិតថាគាត់ល្អហើយ។ដូចគេដូចឯងហើយ។ខ្ញុំក៏លែងបារម្ភច្រើន។តែតាមពិតទៅគាត់នៅធ្វើវាទេ។ប្រើប្រាស់បន្តិចម្ដងៗឥឡូវនេះគាត់ជាប់គុកបានសម្រេចជាលើកចុងក្រោយរបស់គាត់,,,,,,,,,,False,,
dom__3,ឆ្លៀតឳកាសទៅលេងស្រីខូចនឹង វាមានទៅណាវាអានឹង,,,,,,,,,,False,,
dom__4,ករណីអីក៏ដោយបើចាប់គេទៅក៏ត្រូវតែប៉ូលីសរកលេខទូរសព្ទក្រុមគ្រួសារផ្ដល់ដំណឹងឲ្យគ្រួសារគេដែរកុំចេះតែនិយាយករណីអីក៏ដោយគេតែងតែរកលេខគ្រួសារផ្ដល់ដំណឹងឲ្យគ្រួសារគេហើយ,,,,,,,,,,False,,
dom__5,ជាយប់ប្រយ័ត្នប្រយែងបន្តិចព្រោះម៉ូតូល្អហានិភ័យខ្លាំងណាស់។ព្រោះសម្បូរសត្វទិញទុយចេញរកស៊ីយប់។,,,,,,,,,,False,,
